#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons;Series;Language;Region;Rating
Magical Chase (USA);Magical Chase (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Mahjong Gakuen - Touma Soushirou Toujou (Japan);Mahjong Gakuen - Touma Soushirou Toujou (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Mahjong Gakuen Mild - Touma Soushirou Toujou (Japan);Mahjong Gakuen Mild - Touma Soushirou Toujou (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Mahjong Gakuen Mild - Touma Soushirou Toujou (Japan) (Alt 1);Mahjong Gakuen Mild - Touma Soushirou Toujou (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
Mahjong Gokuu Special (Japan);Mahjong Gokuu Special (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Mahjong Haouden - Kaiser's Quest (Japan);Mahjong Haouden - Kaiser's Quest (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Mahjong Shikaku Retsuden - Mahjong Wars (Japan);Mahjong Shikaku Retsuden - Mahjong Wars (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Maison Ikkoku (Japan);Maison Ikkoku (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Makai Hakkenden Shada (Japan);Makai Hakkenden Shada (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Makai Prince Dorabocchan (Japan);Makai Prince Dorabocchan (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Makyou Densetsu (Japan);Makyou Densetsu (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Maniac Pro Wres - Asu e no Tatakai (Japan);Maniac Pro Wres - Asu e no Tatakai (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Mashin Eiyuu Den Wataru (Japan);Mashin Eiyuu Den Wataru (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Mesopotamia (Japan);Mesopotamia (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Metal Stoker (Japan);Metal Stoker (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Military Madness (USA);Military Madness (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Mizubaku Adventure (Japan);Mizubaku Adventure (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Momotarou Densetsu Gaiden - Dai-1-shuu (Japan);Momotarou Densetsu Gaiden - Dai-1-shuu (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Momotarou Densetsu II (Japan);Momotarou Densetsu II (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Momotarou Densetsu Turbo (Japan);Momotarou Densetsu Turbo (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Momotarou Katsugeki (Japan);Momotarou Katsugeki (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Monster Pro Wres (Japan);Monster Pro Wres (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Morita Shougi PC (Japan);Morita Shougi PC (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Moto Roader (Japan);Moto Roader (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Moto Roader (USA);Moto Roader (USA);ra-tg16;;;;;;;;;;;;;;;;;;
Moto Roader II (Japan);Moto Roader II (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Moto Roader II (Japan) (Alt 1);Moto Roader II (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
Mr. Heli no Daibouken (Japan);Mr. Heli no Daibouken (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Mr. Heli no Daibouken (Japan) (Alt 1);Mr. Heli no Daibouken (Japan) (Alt 1);ra-tg16;;;;;;;;;;;;;;;;;;
NHK Taiga Drama - Taiheiki (Japan);NHK Taiga Drama - Taiheiki (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Narazumono Sentou Butai - Bloody Wolf (Japan);Narazumono Sentou Butai - Bloody Wolf (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Naxat Open (Japan);Naxat Open (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Naxat Stadium (Japan);Naxat Stadium (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Nazo no Mascarade (Japan);Nazo no Mascarade (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Necros no Yousai (Japan);Necros no Yousai (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Nectaris (Japan);Nectaris (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
Nekketsu Koukou Dodgeball-bu - PC Bangai Hen (Japan);Nekketsu Koukou Dodgeball-bu - PC Bangai Hen (Japan);ra-tg16;;;;;;;;;;;;;;;;;;
